averageMonthlyHours,satisfaction,evaluation,yearsAtCompany,turnover
286,96,61,2,0
284,63,100,2,0
250,65,55,3,0
277,76,81,3,0
270,26,90,5,0
280,84,73,5,0
258,74,77,3,0
272,53,45,3,0
269,70,56,3,0
292,62,69,4,0
286,71,68,4,0
287,50,65,2,0
292,53,50,6,0
285,88,89,4,0
281,79,83,3,0
257,69,89,2,0
271,57,96,2,0
263,68,80,3,0
277,60,82,3,0
273,70,90,3,0
265,71,76,2,0
272,49,51,3,0
279,74,70,2,0
296,20,93,5,0
288,57,50,2,0
273,83,48,4,0
275,22,64,2,0
288,67,57,4,0
274,54,84,3,0
266,54,53,3,0
277,64,61,4,0
290,23,84,4,0
266,88,87,3,0
270,83,54,3,0
262,88,67,2,0
261,90,85,2,0
277,49,61,3,0
276,55,49,3,0
275,92,69,6,0
256,72,67,4,0
282,63,50,3,0
281,98,66,3,0
289,76,52,3,0
278,42,56,3,0
275,58,65,4,0
280,85,82,3,0
255,67,95,4,0
277,58,100,3,0
275,84,76,5,0
232,56,68,2,0
274,63,83,3,0
274,51,92,3,0
259,95,81,3,0
283,85,55,3,0
276,73,78,3,0
295,20,49,5,0
279,78,79,2,0
281,83,80,3,0
284,87,56,3,0
290,98,99,3,0
285,100,81,3,0
274,70,55,3,0
246,62,88,3,0
283,67,72,2,0
253,86,96,3,0
289,44,57,2,0
255,19,86,4,0
263,76,83,2,0
281,89,93,4,0
277,25,97,3,0
275,68,100,2,0
302,38,50,2,0
285,64,95,4,0
279,76,62,3,0
261,26,45,3,0
291,69,67,2,0
264,98,66,2,0
277,86,83,2,0
290,14,68,5,0
272,58,63,3,0
287,63,97,2,0
271,70,91,3,0
294,73,62,4,0
285,89,52,3,0
284,17,61,5,0
266,86,73,2,0
276,59,73,3,0
268,22,51,2,0
256,55,57,2,0
275,74,60,2,0
271,55,54,2,0
279,67,94,2,0
269,64,80,3,0
270,58,71,3,0
271,90,60,3,0
272,89,90,3,0
269,74,37,4,0
270,78,91,4,0
265,97,53,3,0
275,52,92,2,0
267,99,86,2,0
278,76,44,4,0
276,69,96,3,0
282,59,69,3,0
282,95,63,3,0
269,69,81,2,0
268,76,75,4,0
274,70,84,4,0
292,87,60,2,0
291,44,55,3,0
291,54,91,3,0
274,55,75,3,0
272,81,75,3,0
299,50,55,2,0
287,93,74,3,0
280,64,50,6,0
287,57,78,4,0
282,95,74,3,0
281,86,67,3,0
284,82,58,2,0
282,18,79,4,0
286,58,70,4,0
286,57,56,2,0
252,94,83,3,0
286,20,97,5,0
287,73,75,5,0
271,94,80,3,0
267,99,61,3,0
277,22,49,4,0
295,67,66,3,0
288,49,67,2,0
284,78,95,3,0
278,15,74,3,0
277,91,89,3,0
271,70,78,4,0
268,60,95,3,0
273,59,57,2,0
267,59,93,3,0
264,55,64,3,0
269,42,75,2,0
271,57,81,3,0
274,72,51,2,0
266,83,81,6,0
287,89,93,3,0
279,55,59,3,0
252,53,75,2,0
265,74,59,4,0
279,63,98,2,0
269,63,40,2,0
268,61,97,3,0
259,76,79,5,0
273,67,82,4,0
274,51,95,3,0
282,67,55,3,0
281,16,94,4,0
274,34,85,4,0
272,58,73,3,0
286,50,71,5,0
269,56,48,3,0
261,56,98,3,0
244,74,71,2,0
261,69,99,2,0
288,15,81,5,0
265,58,67,2,0
255,80,79,3,0
286,50,57,3,0
281,66,92,2,0
290,81,78,3,0
284,14,68,5,0
291,92,85,2,0
280,69,91,3,0
280,66,99,2,0
294,85,39,4,0
268,83,69,2,0
266,100,49,4,0
291,68,65,4,0
267,26,97,2,0
266,35,41,2,0
253,12,58,2,0
287,91,93,3,0
275,65,67,3,0
263,78,72,4,0
259,61,82,4,0
289,64,51,2,0
274,58,73,4,0
300,63,76,2,0
268,94,60,2,0
276,26,81,4,0
278,59,69,3,0
278,78,80,3,0
252,86,64,3,0
267,79,73,3,0
268,89,73,4,0
278,34,99,3,0
291,29,77,6,0
273,71,89,4,0
266,93,58,2,0
277,94,76,3,0
277,91,72,3,0
277,71,96,4,0
268,67,81,4,0
276,54,42,3,0
267,89,58,4,0
273,94,91,3,0
280,15,89,6,0
277,45,92,4,0
266,92,67,4,0
281,63,56,5,0
261,80,66,3,0
287,45,72,2,0
272,72,54,2,0
266,84,36,5,0
273,61,51,2,0
281,63,88,3,0
275,49,54,2,0
278,68,51,3,0
280,64,85,2,0
272,61,64,3,0
258,83,55,3,0
279,94,51,2,0
270,27,66,6,0
285,60,49,4,0
277,83,69,2,0
275,53,75,3,0
258,79,97,3,0
290,96,49,3,0
268,50,56,3,0
282,68,81,2,0
270,24,54,4,0
262,80,80,6,0
261,62,74,3,0
269,100,85,2,0
274,64,75,3,0
288,51,55,3,0
280,74,50,3,0
273,49,99,2,0
269,96,83,6,0
280,59,62,4,0
278,84,57,3,0
275,16,84,6,0
283,62,75,2,0
270,79,67,3,0
277,53,83,3,0
270,17,48,5,0
288,57,76,2,0
289,65,82,2,0
289,69,74,2,0
275,30,80,3,0
268,99,92,3,0
282,50,69,2,0
263,54,96,2,0
275,69,57,4,0
272,50,85,2,0
279,66,73,3,0
278,100,93,3,0
282,15,61,6,0
271,31,54,5,0
291,65,49,4,0
291,72,69,2,0
286,84,85,3,0
255,55,80,2,0
273,60,58,3,0
263,84,48,2,0
264,68,87,3,0
277,13,100,3,0
281,88,98,2,0
290,64,57,3,0
280,19,95,3,0
278,83,88,3,0
276,17,41,3,0
279,44,74,6,0
264,52,55,2,0
258,66,62,2,0
289,96,55,3,0
256,19,50,3,0
276,86,100,3,0
287,65,57,4,0
285,61,97,3,0
265,53,96,3,0
287,14,76,6,0
291,74,100,4,0
270,47,62,5,0
271,60,56,3,0
290,81,58,4,0
271,95,59,4,0
302,98,80,2,0
277,52,80,3,0
280,100,97,3,0
275,16,74,4,0
268,19,83,4,0
305,94,87,3,0
291,58,43,3,0
275,92,69,3,0
264,65,80,4,0
274,74,74,3,0
273,60,53,2,0
281,100,100,4,0
266,81,96,3,0
272,54,67,3,0
276,18,81,4,0
285,82,88,2,0
283,90,96,2,0
274,62,62,2,0
275,77,76,3,0
276,58,86,2,0
282,27,47,6,0
265,78,72,3,0
295,98,66,3,0
278,75,50,4,0
275,74,67,3,0
278,90,99,3,0
286,73,71,6,0
270,90,62,3,0
265,68,91,3,0
285,90,74,4,0
276,64,93,2,0
283,63,90,3,0
284,87,89,4,0
289,60,55,3,0
256,70,74,3,0
271,15,94,6,0
290,45,75,3,0
277,43,90,5,0
279,92,46,5,0
268,72,81,2,0
268,94,84,2,0
264,74,52,3,0
266,48,71,3,0
264,84,76,2,0
272,53,86,3,0
293,45,88,3,0
278,95,67,4,0
273,95,58,3,0
270,70,85,2,0
285,19,93,4,0
284,74,91,3,0
283,54,59,3,0
299,50,69,2,0
276,95,72,5,0
273,69,69,3,0
290,24,74,3,0
267,96,70,2,0
269,61,50,4,0
286,76,53,3,0
281,61,64,2,0
282,37,48,5,0
297,81,90,3,0
276,59,90,3,0
271,73,82,3,0
296,87,57,6,0
273,67,66,3,0
289,96,78,3,0
265,98,51,3,0
276,50,58,2,0
267,49,71,2,0
280,13,65,4,0
258,57,68,6,0
280,51,94,2,0
282,99,69,2,0
269,80,77,2,0
293,56,39,4,0
293,96,84,4,0
306,96,50,2,0
287,87,53,6,0
266,61,90,3,0
270,18,60,4,0
261,24,77,5,0
241,86,48,3,0
275,25,62,5,0
288,25,82,5,0
259,63,55,3,0
264,89,68,2,0
256,87,82,3,0
298,87,78,2,0
264,71,99,4,0
280,98,87,2,0
287,16,51,6,0
258,83,68,2,0
269,65,77,2,0
284,95,64,3,0
267,67,67,3,0
257,53,88,3,0
283,74,94,3,0
283,77,79,4,0
288,13,72,5,0
271,82,92,3,0
292,88,65,2,0
273,89,50,2,0
282,85,51,4,0
257,93,87,2,0
277,62,70,3,0
275,58,96,2,0
269,98,50,3,0
288,52,45,3,0
267,76,49,2,0
289,73,91,2,0
268,74,64,5,0
267,49,48,2,0
284,91,97,3,0
276,74,92,3,0
276,86,82,4,0
288,52,47,5,0
273,95,81,2,0
276,65,98,3,0
275,70,56,2,0
266,14,66,5,0
284,92,53,4,0
293,54,60,2,0
286,76,95,4,0
283,78,66,2,0
295,85,86,3,0
277,78,80,3,0
267,55,72,3,0
278,68,61,2,0
287,91,68,2,0
280,76,56,2,0
280,15,67,3,0
282,95,60,3,0
270,74,37,3,0
281,92,56,2,0
283,64,89,3,0
283,96,90,3,0
278,21,72,6,0
276,85,67,4,0
276,52,86,3,0
280,54,81,6,0
281,56,81,4,0
271,59,79,3,0
274,88,58,3,0
287,70,84,3,0
266,95,58,2,0
278,83,88,2,0
277,76,62,3,0
288,82,92,3,0
259,55,97,3,0
281,89,55,4,0
263,66,94,3,0
272,41,61,2,0
283,83,77,2,0
268,88,72,2,0
286,56,66,2,0
286,53,72,3,0
278,80,41,4,0
277,95,78,3,0
280,90,88,2,0
273,50,97,3,0
284,40,59,6,0
276,52,85,4,0
260,51,50,3,0
265,84,62,3,0
277,78,98,3,0
267,91,71,3,0
282,59,71,2,0
269,69,97,4,0
288,87,93,2,0
286,66,100,2,0
269,50,54,3,0
280,95,75,4,0
281,77,64,3,0
273,66,50,2,0
283,61,98,5,0
264,70,87,3,0
278,89,71,2,0
289,60,78,3,0
274,62,51,3,0
270,59,90,2,0
269,69,59,4,0
277,36,94,5,0
290,59,93,3,0
281,50,51,4,0
287,53,99,3,0
293,84,90,2,0
285,51,95,3,0
301,53,56,3,0
280,98,63,3,0
285,95,81,3,0
288,13,76,3,0
271,50,64,4,0
279,93,76,3,0
281,50,87,2,0
282,66,84,2,0
288,89,79,3,0
273,46,43,3,0
283,67,60,3,0
298,96,90,3,0
273,98,76,3,0
288,67,57,4,0
261,72,72,4,0
280,65,49,2,0
272,72,67,3,0
282,78,58,3,0
295,93,56,2,0
269,73,85,4,0
269,20,57,5,0
269,47,50,2,0
271,56,62,3,0
263,72,86,2,0
278,91,56,4,0
272,79,49,3,0
262,53,75,4,0
276,14,51,6,0
278,78,92,4,0
290,52,74,3,0
287,94,68,2,0
258,83,80,4,0
274,44,68,2,0
253,72,74,2,0
288,84,58,3,0
275,76,99,2,0
303,92,94,2,0
266,58,93,2,0
268,85,81,4,0
281,74,51,3,0
279,74,87,2,0
300,72,80,3,0
257,76,98,3,0
279,85,72,3,0
265,82,49,3,0
278,60,93,3,0
278,39,64,2,0
264,83,53,4,0
271,70,92,3,0
252,84,97,2,0
286,90,77,3,0
263,18,84,5,0
274,52,71,2,0
260,87,51,3,0
263,60,79,2,0
270,72,93,2,0
281,48,64,3,0
283,75,53,2,0
276,85,55,6,0
269,39,41,3,0
289,61,68,2,0
275,60,61,3,0
271,57,64,3,0
258,19,68,3,0
269,48,77,3,0
277,69,75,3,0
299,70,55,4,0
266,65,92,3,0
273,81,96,3,0
276,85,95,3,0
259,93,76,2,0
282,72,94,3,0
298,49,55,3,0
272,94,47,6,0
281,81,84,2,0
285,92,78,4,0
277,97,82,2,0
276,98,61,2,0
290,44,45,2,0
273,72,87,4,0
277,80,73,3,0
262,60,72,4,0
264,89,65,3,0
264,69,57,2,0
259,54,81,2,0
264,97,75,3,0
257,37,40,2,0
294,73,52,3,0
275,57,69,3,0
266,86,66,2,0
278,83,85,3,0
291,19,52,5,0
292,55,93,4,0
264,60,65,2,0
274,62,71,3,0
282,65,55,2,0
282,40,48,2,0
285,82,78,2,0
274,75,69,2,0
286,83,53,3,0
294,77,78,3,0
273,59,98,3,0
263,80,79,4,0
275,84,55,3,0
282,88,71,3,0
281,37,90,6,0
273,88,66,2,0
263,69,85,2,0
274,54,49,2,0
273,76,57,4,0
261,51,58,3,0
275,16,52,4,0
280,65,60,3,0
279,54,81,4,0
291,66,68,3,0
266,95,65,3,0
269,83,57,2,0
258,98,84,3,0
268,72,72,2,0
284,71,62,4,0
290,36,65,2,0
276,55,65,4,0
269,64,52,3,0
290,62,57,2,0
278,100,95,6,0
269,91,91,2,0
274,81,67,3,0
273,71,92,3,0
277,97,74,5,0
282,75,86,4,0
262,68,100,4,0
265,87,68,3,0
272,96,57,2,0
274,41,86,5,0
266,81,61,4,0
278,68,100,5,0
271,63,56,3,0
272,60,84,3,0
270,66,97,3,0
277,69,82,4,0
267,23,37,4,0
278,52,63,3,0
285,65,86,2,0
282,78,40,3,0
286,60,65,2,0
276,90,62,3,0
271,59,95,2,0
276,89,78,2,0
277,96,85,4,0
284,68,76,3,0
282,52,72,2,0
275,68,94,2,0
266,60,59,3,0
293,28,83,4,0
277,98,54,3,0
279,67,52,2,0
268,86,60,2,0
267,83,90,3,0
283,79,86,3,0
274,54,86,5,0
267,51,86,2,0
268,75,65,2,0
284,51,67,3,0
264,73,74,3,0
268,17,40,3,0
254,88,59,3,0
275,76,79,3,0
284,29,77,3,0
278,62,97,3,0
287,50,85,3,0
285,16,65,3,0
269,18,99,6,0
291,86,68,2,0
268,68,52,3,0
283,68,85,3,0
282,89,78,3,0
280,86,88,2,0
269,43,41,3,0
267,85,58,6,0
277,94,80,4,0
269,58,71,3,0
267,43,60,3,0
280,72,49,3,0
267,95,96,3,0
284,35,67,3,0
264,77,79,3,0
257,74,70,2,0
283,50,60,2,0
269,87,56,2,0
263,55,48,3,0
269,80,65,3,0
278,49,52,2,0
267,54,92,3,0
252,21,87,5,0
280,77,77,2,0
282,53,73,3,0
272,89,49,6,0
285,25,59,3,0
274,53,59,2,0
270,44,45,3,0
266,70,44,2,0
287,54,76,4,0
285,90,56,3,0
257,69,80,3,0
272,78,59,3,0
262,91,49,6,0
268,92,61,2,0
279,96,88,2,0
276,80,77,2,0
277,52,67,3,0
264,52,97,2,0
277,93,96,3,0
282,89,90,2,0
289,83,61,4,0
273,70,84,6,0
284,89,74,2,0
306,21,37,3,0
272,67,78,4,0
279,73,97,2,0
270,85,51,4,0
272,54,85,3,0
262,74,94,6,0
272,71,65,2,0
262,76,52,3,0
290,85,50,2,0
296,82,89,3,0
290,71,79,3,0
273,79,65,3,0
290,86,56,3,0
261,90,78,3,0
273,65,80,3,0
279,53,74,2,0
267,51,91,5,0
279,100,76,3,0
281,92,82,3,0
270,100,59,3,0
275,23,67,5,0
288,52,77,2,0
272,80,83,2,0
276,59,72,3,0
272,75,55,2,0
255,99,58,3,0
284,57,76,3,0
271,87,95,3,0
275,52,47,5,0
280,57,90,2,0
268,32,77,4,0
268,66,81,3,0
283,53,80,3,0
261,55,62,3,0
279,66,90,4,0
288,69,92,2,0
277,67,99,3,0
261,75,37,3,0
282,70,98,2,0
271,71,74,2,0
278,97,60,2,0
263,50,48,3,0
256,34,92,3,0
282,67,74,3,0
296,78,98,3,0
271,52,91,2,0
276,91,51,2,0
276,79,92,3,0
263,83,53,2,0
285,74,76,3,0
274,77,97,3,0
275,49,71,3,0
258,94,89,3,0
266,99,91,2,0
279,69,84,3,0
262,88,59,4,0
277,89,90,3,0
274,80,58,2,0
283,22,89,4,0
278,87,83,2,0
257,66,66,4,0
270,90,68,3,0
273,95,54,5,0
290,49,56,6,0
286,71,68,2,0
277,20,96,3,0
280,95,64,5,0
283,68,80,2,0
279,93,68,2,0
282,85,57,3,0
287,82,68,2,0
276,87,42,5,0
279,88,84,3,0
277,98,79,3,0
289,89,98,3,0
288,92,51,3,0
266,48,60,5,0
275,67,49,3,0
277,84,55,3,0
280,97,78,2,0
269,65,53,3,0
263,79,87,2,0
285,75,75,4,0
274,69,64,3,0
285,85,60,3,0
278,34,41,3,0
282,97,68,2,0
275,39,99,6,0
273,54,81,4,0
262,78,67,3,0
263,49,79,3,0
258,17,83,5,0
280,98,81,2,0
289,90,100,5,0
277,24,89,4,0
275,92,79,3,0
278,36,72,3,0
276,19,76,3,0
274,75,76,4,0
287,91,81,3,0
281,72,95,3,0
283,62,64,2,0
246,97,75,2,0
268,69,64,3,0
272,98,56,2,0
254,62,53,3,0
276,59,82,2,0
274,73,98,3,0
269,71,79,3,0
271,85,58,4,0
266,80,94,3,0
274,48,38,3,0
280,64,40,3,0
281,19,64,5,0
278,82,69,3,0
273,99,96,3,0
270,45,58,2,0
276,89,89,2,0
266,75,78,5,0
265,80,86,2,0
254,78,49,2,0
265,95,76,2,0
300,68,67,2,0
260,82,97,3,0
290,90,69,2,0
287,59,99,2,0
279,66,57,4,0
251,63,56,4,0
284,73,78,2,0
271,63,93,4,0
264,87,62,2,0
276,62,87,2,0
283,53,90,3,0
272,94,83,2,0
270,94,55,2,0
281,55,64,2,0
269,58,72,3,0
283,98,88,5,0
269,74,76,4,0
282,65,48,3,0
254,97,79,2,0
275,58,75,2,0
279,49,77,2,0
268,69,98,2,0
273,55,49,3,0
276,65,89,3,0
276,87,49,2,0
262,12,70,4,0
257,65,84,4,0
279,23,66,4,0
276,62,77,3,0
282,86,72,2,0
294,85,60,4,0
283,74,76,2,0
276,53,76,4,0
271,99,44,6,0
256,48,81,3,0
277,72,74,2,0
276,76,72,5,0
262,41,70,3,0
266,85,88,2,0
273,62,49,3,0
292,16,78,6,0
282,58,61,2,0
267,73,95,3,0
257,28,76,2,0
276,77,61,2,0
262,85,86,3,0
301,56,76,2,0
288,81,100,2,0
270,83,87,3,0
267,49,48,3,0
264,81,97,3,0
270,56,92,4,0
265,77,83,3,0
279,73,50,4,0
266,95,72,2,0
261,69,68,3,0
286,79,89,4,0
268,63,57,2,0
266,80,79,3,0
258,64,61,2,0
275,92,90,3,0
290,96,75,2,0
256,56,85,3,0
273,37,61,2,0
266,50,82,2,0
277,49,58,4,0
291,100,73,2,0
270,82,75,3,0
262,52,54,3,0
266,76,96,3,0
291,20,53,4,0
267,60,90,3,0
277,69,90,4,0
281,93,51,2,0
286,70,64,3,0
272,56,54,2,0
282,97,61,3,0
275,24,65,5,0
284,83,91,3,0
271,55,85,2,0
261,68,99,3,0
287,48,53,4,0
266,75,95,3,0
267,61,50,3,0
278,50,74,2,0
266,78,54,3,0
270,61,68,3,0
276,48,50,3,0
278,93,92,2,0
261,78,58,2,0
278,92,99,4,0
266,71,98,3,0
292,15,42,3,0
270,14,83,5,0
281,56,72,2,0
270,100,84,3,0
252,77,82,4,0
280,86,66,2,0
275,88,95,3,0
289,85,84,3,0
289,95,56,2,0
260,65,65,3,0
277,70,55,2,0
276,60,55,3,0
270,84,83,3,0
280,23,59,5,0
274,89,75,3,0
263,98,91,2,0
272,88,83,3,0
255,87,52,4,0
280,93,96,4,0
273,13,95,2,0
274,99,56,4,0
276,52,51,2,0
270,58,98,3,0
267,85,57,2,0
284,41,59,3,0
280,100,80,3,0
281,63,64,3,0
274,63,58,3,0
282,63,90,3,0
279,59,62,4,0
273,88,77,4,0
272,72,70,3,0
258,67,81,2,0
279,41,54,4,0
269,30,68,6,0
289,83,84,2,0
287,73,93,2,0
280,87,90,2,0
274,93,74,4,0
276,97,91,3,0
290,70,54,4,0
275,66,95,3,0
286,62,66,3,0
273,56,52,2,0
264,32,72,5,0
264,55,81,3,0
269,69,91,2,0
270,91,63,3,0
276,33,82,6,0
286,37,74,3,0
278,95,57,3,0
288,17,91,5,0
269,95,53,3,0
282,27,69,5,0
275,91,95,3,0
281,49,61,2,0
283,60,56,3,0
280,52,57,3,0
269,54,65,3,0
277,86,53,2,0
295,78,87,3,0
262,60,81,3,0
268,15,91,3,0
272,72,92,3,0
276,94,85,2,0
267,92,56,3,0
269,60,88,3,0
272,41,68,3,0
279,50,43,2,0
278,80,91,2,0
270,67,83,3,0
280,71,88,3,0
260,66,85,5,0
298,77,74,2,0
246,62,54,2,0
263,95,53,3,0
279,89,75,2,0
277,74,83,2,0
272,19,80,5,0
265,83,77,3,0
276,53,64,4,0
253,98,75,2,0
291,74,99,2,0
283,22,88,5,0
284,76,68,3,0
284,89,91,3,0
275,50,84,4,0
274,17,82,4,0
283,46,38,3,0
285,68,78,3,0
273,77,86,2,0
268,68,83,3,0
288,15,70,4,0
283,70,98,5,0
301,66,96,2,0
270,54,52,3,0
289,57,57,3,0
270,78,58,3,0
285,14,83,6,0
306,73,86,3,0
292,65,97,2,0
268,31,59,3,0
271,77,55,2,0
270,68,85,4,0
282,79,69,2,0
289,92,62,3,0
243,77,96,4,0
280,48,89,2,0
271,63,66,2,0
269,92,49,3,0
276,50,85,6,0
259,52,91,2,0
274,73,79,3,0
270,99,87,3,0
270,91,99,3,0
278,85,79,2,0
288,95,69,2,0
272,67,85,4,0
274,86,55,2,0
290,71,54,3,0
275,99,95,5,0
279,57,61,2,0
261,98,72,2,0
288,62,58,2,0
279,74,79,4,0
257,70,60,3,0
274,80,93,3,0
275,65,69,3,0
275,53,52,4,0
271,43,62,3,0
275,59,65,3,0
287,16,96,6,0
275,84,80,3,0
262,78,95,4,0
277,66,91,3,0
281,70,74,2,0
272,73,63,3,0
277,65,88,4,0
266,79,59,4,0
260,57,68,3,0
257,24,58,4,0
287,95,78,2,0
272,38,54,3,0
289,90,78,2,0
276,50,40,4,0
273,68,61,5,0
272,50,78,3,0
266,85,81,4,0
259,95,52,3,0
279,92,92,2,0
275,83,87,3,0
271,90,78,2,0
268,21,77,4,0
273,94,86,4,0
279,70,85,3,0
270,54,76,4,0
268,77,65,3,0
287,62,49,2,0
267,93,55,2,0
276,81,86,3,0
280,99,79,2,0
272,78,49,3,0
280,66,63,5,0
284,90,72,2,0
274,74,53,2,0
280,65,78,5,0
271,99,52,3,0
277,83,72,3,0
278,60,82,3,0
255,55,93,3,0
260,96,71,3,0
273,83,94,3,0
281,95,70,3,0
292,77,88,3,0
284,83,95,3,0
281,87,54,3,0
275,69,49,4,0
286,67,58,3,0
269,55,49,2,0
264,55,82,6,0
287,39,48,3,0
281,51,93,3,0
288,39,38,3,0
261,96,93,3,0
278,68,81,2,0
257,67,71,3,0
273,68,44,5,0
289,56,58,3,0
279,90,70,3,0
286,69,59,3,0
265,99,71,3,0
261,42,59,2,0
265,28,51,3,0
265,55,65,3,0
280,91,53,6,0
278,53,98,4,0
272,87,74,3,0
291,57,60,4,0
272,59,77,3,0
269,76,89,3,0
274,59,42,3,0
292,50,54,2,0
270,55,55,4,0
274,92,53,2,0
282,80,51,3,0
269,93,66,3,0
268,67,57,3,0
278,78,55,2,0
272,61,70,3,0
283,74,84,3,0
278,50,49,3,0
264,84,96,2,0
284,89,55,2,0
281,77,89,3,0
284,64,71,4,0
282,77,89,5,0
282,74,58,4,0
280,88,96,2,0
280,88,96,4,0
275,89,88,4,0
267,74,59,4,0
282,63,74,2,0
293,63,80,2,0
268,68,92,4,0
286,14,81,3,0
279,86,94,4,0
284,73,53,2,0
283,57,56,3,0
287,97,75,3,0
285,67,36,4,0
300,89,74,2,0
273,80,96,3,0
285,30,51,3,0
270,14,73,6,0
266,91,80,3,0
262,49,81,3,0
277,57,68,4,0
260,59,62,3,0
264,50,70,2,0
269,69,97,2,0
280,81,68,3,0
283,79,82,3,0
279,55,91,4,0
291,92,62,2,0
279,94,59,3,0
284,67,55,3,0
282,53,92,3,0
280,77,59,5,0
262,57,82,3,0
267,64,97,2,0
262,35,100,2,0
275,66,71,3,0
277,59,84,3,0
255,49,93,3,0
274,91,99,3,0
280,12,60,4,0
264,74,68,5,0
264,84,94,2,0
285,51,99,3,0
271,94,71,3,0
286,74,66,2,0
286,52,54,3,0
277,31,92,6,0
279,72,59,2,0
281,92,100,2,0
275,56,64,3,0
269,76,45,6,0
267,59,90,4,0
269,50,74,3,0
269,88,72,4,0
276,86,49,2,0
255,66,99,3,0
265,70,69,3,0
283,98,93,4,0
308,61,73,3,0
287,57,66,2,0
280,84,91,3,0
274,76,40,5,0
270,64,99,4,0
279,87,70,3,0
280,62,69,2,0
280,16,99,6,0
272,83,87,3,0
266,36,59,2,0
270,47,51,5,0
280,54,51,4,0
268,83,83,3,0
286,96,68,2,0
268,91,74,3,0
276,56,59,3,0
288,73,66,3,0
274,97,63,3,0
272,75,74,3,0
261,49,76,2,0
287,57,94,3,0
278,41,58,2,0
273,53,70,2,0
274,93,60,3,0
272,58,90,3,0
275,60,54,3,0
287,74,80,2,0
285,62,52,3,0
277,70,76,3,0
268,93,75,2,0
271,75,90,2,0
266,95,48,6,0
275,43,98,3,0
274,77,58,4,0
282,67,100,3,0
275,51,72,4,0
274,94,53,2,0
274,90,85,3,0
299,80,78,3,0
257,34,89,6,0
277,45,53,4,0
288,97,66,4,0
276,50,48,4,0
289,89,62,2,0
279,76,50,3,0
299,66,84,2,0
275,74,63,2,0
277,69,74,3,0
272,59,57,3,0
280,100,85,3,0
280,61,75,4,0
276,98,42,3,0
276,59,71,3,0
277,22,69,6,0
286,71,95,2,0
272,86,53,3,0
278,65,59,3,0
266,93,67,3,0
296,49,69,2,0
264,78,77,4,0
274,62,70,4,0
279,72,63,2,0
276,70,56,6,0
276,54,93,2,0
276,61,95,4,0
281,84,95,3,0
276,80,58,3,0
271,58,50,3,0
269,97,87,6,0
282,92,55,2,0
269,96,51,4,0
264,73,87,3,0
290,73,71,3,0
276,53,83,3,0
260,17,82,5,0
273,75,76,4,0
280,76,44,4,0
283,76,77,3,0
269,92,55,3,0
290,82,88,2,0
274,38,50,3,0
284,49,72,3,0
274,53,80,3,0
285,56,59,2,0
268,69,98,2,0
280,62,99,3,0
274,71,76,2,0
276,52,100,3,0
280,20,53,4,0
257,93,61,3,0
269,74,81,2,0
281,78,45,6,0
286,85,79,2,0
266,79,56,2,0
282,92,91,2,0
260,58,97,3,0
264,68,72,3,0
276,90,67,3,0
276,67,71,2,0
275,79,73,3,0
286,23,48,6,0
267,98,99,4,0
262,80,75,4,0
279,77,84,4,0
265,100,91,4,0
286,60,92,4,0
263,49,54,3,0
265,91,99,4,0
271,97,52,3,0
284,71,76,2,0
277,62,91,3,0
293,61,92,4,0
261,21,60,4,0
297,64,97,3,0
280,61,65,2,0
290,58,75,3,0
273,41,90,2,0
272,98,73,3,0
264,50,88,5,0
271,98,61,2,0
274,40,85,2,0
271,63,92,2,0
296,75,53,3,0
254,82,84,2,0
278,55,62,2,0
274,44,36,3,0
268,92,88,3,0
287,57,56,3,0
275,73,86,3,0
282,82,92,3,0
259,54,75,2,0
275,64,95,4,0
270,99,76,5,0
275,19,92,6,0
289,86,96,3,0
274,65,66,3,0
279,52,81,2,0
268,85,49,3,0
275,61,64,4,0
267,77,57,3,0
273,54,94,2,0
275,76,74,3,0
280,79,90,4,0
263,89,93,2,0
283,60,80,2,0
303,51,58,3,0
286,20,72,2,0
283,93,60,2,0
274,77,54,4,0
270,80,87,2,0
281,80,97,3,0
274,62,92,3,0
282,79,72,3,0
286,88,73,3,0
264,96,73,3,0
280,34,69,3,0
264,34,65,4,0
273,88,85,3,0
288,66,61,3,0
269,55,71,2,0
272,59,51,2,0
299,62,73,3,0
276,78,93,3,0
271,73,75,3,0
266,71,94,3,0
272,97,86,2,0
268,21,74,4,0
276,52,96,3,0
249,73,88,3,0
268,74,83,3,0
273,26,71,2,0
282,52,78,3,0
285,69,54,3,0
266,79,59,6,0
273,93,62,3,0
258,34,87,2,0
294,77,52,3,0
273,36,73,3,0
278,93,58,3,0
252,70,58,3,0
265,51,49,2,0
305,83,78,3,0
266,89,89,2,0
274,94,59,2,0
293,80,55,3,0
268,74,66,2,0
275,50,91,2,0
289,54,84,2,0
265,50,54,3,0
274,17,91,4,0
268,57,53,2,0
270,80,51,3,0
281,45,64,4,0
272,87,50,2,0
275,98,64,4,0
297,55,80,3,0
283,53,50,3,0
286,75,48,6,0
264,96,59,3,0
282,71,97,3,0
273,70,63,3,0
275,33,94,6,0
271,93,94,2,0
274,64,65,2,0
276,27,45,4,0
274,99,99,2,0
272,81,62,3,0
274,60,91,3,0
281,32,40,5,0
295,48,68,2,0
276,87,51,3,0
275,91,79,4,0
280,24,89,4,0
267,66,56,4,0
279,94,59,2,0
271,93,97,4,0
285,19,55,4,0
283,88,45,2,0
268,76,47,2,0
